,Energy (MeV),mu/rho (cm2/g),mu_en/rho (cm2/g),Z
30,1.0,0.059210000000000006,0.02632,47
31,1.25,0.05217,0.02425,47
32,1.5,0.04754,0.02284,47
33,2.0,0.042089999999999995,0.02135,47
34,3.0,0.03754,0.020819999999999998,47
35,4.0,0.03606,0.021419999999999998,47
36,5.0,0.035769999999999996,0.02232,47
37,6.0,0.03601,0.02324,47
38,8.0,0.03723,0.024990000000000002,47
39,10.0,0.03882,0.02647,47
40,15.0,0.04276,0.02889,47
41,20.0,0.04609,0.03005,47
0,0.001,7350.0,7340.0,48
1,0.0015,2931.0,2922.0,48
2,0.002,1473.0,1466.0,48
3,0.003,541.4,535.0,48
4,0.0035375,357.5,351.7,48
5,0.00363101,1083.0,1036.0,48
6,0.003727,1013.0,971.5,48
7,0.004,1170.0,1118.0,48
8,0.004018,1157.0,1106.0,48
9,0.005,768.5,738.3,48
10,0.006,479.3,461.9,48
11,0.008,225.4,217.4,48
12,0.01,124.4,119.7,48
13,0.015,41.78,39.52,48
14,0.02,19.2,17.76,48
15,0.0267112,8.809,7.8629999999999995,48
16,0.03,37.65,15.94,48
17,0.04,17.78,9.812000000000001,48
18,0.05,9.779,6.115,48
19,0.06,5.975,4.001,48
20,0.08,2.7510000000000003,1.9569999999999999,48
21,0.1,1.524,1.0959999999999999,48
22,0.15,0.5593,0.3753,48
23,0.2,0.3038,0.1813,48
24,0.3,0.1571,0.0758,48
25,0.4,0.1129,0.04868,48
26,0.5,0.0925,0.038380000000000004,48
27,0.6,0.08064,0.033389999999999996,48
28,0.8,0.0667,0.02854,48
29,1.0,0.05826,0.02597,48
30,1.25,0.051289999999999995,0.02387,48
31,1.5,0.04673,0.02247,48
32,2.0,0.041389999999999996,0.02099,48
33,3.0,0.03698,0.02051,48
34,4.0,0.03559,0.02114,48
35,5.0,0.03536,0.02206,48
36,6.0,0.03563,0.023,48
37,8.0,0.036910000000000005,0.02477,48
38,10.0,0.03853,0.02625,48
39,15.0,0.04253,0.028689999999999997,48
40,20.0,0.04587,0.02985,48
0,0.001,7809.0,7797.0,49
1,0.0015,3131.0,3122.0,49
2,0.002,1578.0,1570.0,49
3,0.003,580.8,574.3,49
4,0.0037301,335.6,329.8,49
5,0.00383264,993.0,946.5,49
6,0.003938,931.3,890.5,49
7,0.004,1231.0,1170.0,49
8,0.0042375,1066.0,1016.0,49
9,0.005,813.4,778.0,49
10,0.006,507.2,487.1,49
11,0.008,239.1,230.1,49
12,0.01,132.1,126.9,49
13,0.015,44.45,42.06,49
14,0.02,20.44,18.93,49
15,0.0279399,8.316,7.395,49
16,0.03,39.49,15.53,49
17,0.04,18.73,9.911,49
18,0.05,10.3,6.2620000000000005,49
19,0.06,6.306,4.135,49
20,0.08,2.907,2.043,49
21,0.1,1.609,1.15,49
22,0.15,0.5876,0.396,49
23,0.2,0.3167,0.1913,49
24,0.3,0.1614,0.07923,49
25,0.4,0.1149,0.05031,49
26,0.5,0.09371,0.03932,49
27,0.6,0.08138,0.03398,49
28,0.8,0.06707,0.02883,49
29,1.0,0.05849,0.02615,49
30,1.25,0.05144,0.02398,49
31,1.5,0.04684,0.02254,49
32,2.0,0.041510000000000005,0.02105,49
33,3.0,0.03715,0.0206,49
34,4.0,0.03582,0.021269999999999997,49
35,5.0,0.03564,0.02223,49
36,6.0,0.03596,0.023209999999999998,49
37,8.0,0.0373,0.02502,49
38,10.0,0.03898,0.02653,49
39,15.0,0.04311,0.02903,49
40,20.0,0.04654,0.0302,49
0,0.001,8157.0,8144.0,50
1,0.0015,3296.0,3287.0,50
2,0.002,1665.0,1657.0,50
3,0.003,614.3,607.7,50
4,0.0039288,311.4,305.8,50
5,0.004,939.3,894.5,50
6,0.0041561,846.9,807.4,50
7,0.00430764,1060.0,1002.0,50
8,0.0044647,971.2,922.1,50
9,0.005,847.1,806.4,50
10,0.006,529.4,506.5,50
11,0.008,250.0,240.0,50
12,0.01,138.4,132.7,50
13,0.015,46.64,44.13,50
14,0.02,21.46,19.9,50
15,0.029200099999999996,7.76,6.876,50
16,0.03,41.21,14.9,50
17,0.04,19.42,9.835,50
18,0.05,10.7,6.314,50
19,0.06,6.564,4.211,50
20,0.08,3.029,2.101,50
21,0.1,1.676,1.189,50
22,0.15,0.6091,0.4119,50
23,0.2,0.326,0.199,50
24,0.3,0.1639,0.08179,50
25,0.4,0.1156,0.051379999999999995,50
26,0.5,0.09374,0.0398,50
27,0.6,0.08113,0.03417,50
28,0.8,0.06662,0.02878,50
29,1.0,0.058,0.026010000000000002,50
30,1.25,0.05095,0.023790000000000002,50
31,1.5,0.046380000000000005,0.022330000000000003,50
32,2.0,0.04112,0.02085,50
33,3.0,0.036860000000000004,0.02044,50
34,4.0,0.03561,0.02115,50
35,5.0,0.035480000000000005,0.02213,50
36,6.0,0.03583,0.023119999999999998,50
37,8.0,0.037239999999999995,0.02496,50
38,10.0,0.03895,0.026489999999999996,50
39,15.0,0.04315,0.02901,50
40,20.0,0.04662,0.030180000000000002,50
0,0.001,8582.0,8568.0,51
1,0.0015,3491.0,3481.0,51
2,0.002,1767.0,1759.0,51
3,0.003,653.6,646.9,51
4,0.004,316.9,311.3,51
5,0.0041322,291.8,286.3,51
6,0.00425449,830.8,786.5,51
7,0.0043804,777.6,739.2,51
8,0.00453657,974.3,917.8,51
9,0.0046983,893.9,845.7,51
10,0.005,884.6,837.7,51
11,0.006,556.9,530.5,51
12,0.008,263.1,251.8,51
13,0.01,145.9,139.6,51
14,0.015,49.23,46.57,51
15,0.02,22.68,21.05,51
16,0.03,7.631,6.755,51
17,0.030491200000000003,7.307,6.452000000000001,51
18,0.04,20.27,9.789,51
19,0.05,11.2,6.4,51
20,0.06,6.879,4.311,51
21,0.08,3.176,2.173,51
22,0.1,1.758,1.237,51
23,0.15,0.6361,0.4312,51
24,0.2,0.3381,0.2084,51
25,0.3,0.1677,0.08504,51
26,0.4,0.1172,0.052879999999999996,51
27,0.5,0.09452999999999999,0.04061,51
28,0.6,0.08152999999999999,0.03465,51
29,0.8,0.0667,0.028960000000000003,51
30,1.0,0.05797000000000001,0.026080000000000002,51
31,1.25,0.05086,0.023780000000000003,51
32,1.5,0.04628,0.0223,51
33,2.0,0.04105,0.02081,51
34,3.0,0.036860000000000004,0.02043,51
35,4.0,0.03567,0.02118,51
36,5.0,0.03559,0.02219,51
37,6.0,0.03598,0.023209999999999998,51
38,8.0,0.03745,0.02509,51
39,10.0,0.03921,0.026639999999999997,51
40,15.0,0.04351,0.0292,51
41,20.0,0.04704,0.03038,51
0,0.001,8434.0,8419.0,52
1,0.001003,8380.0,8365.0,52
2,0.001006,8326.0,8311.0,52
3,0.0015,3608.0,3598.0,52
4,0.002,1832.0,1824.0,52
5,0.003,679.2,672.6,52
6,0.004,329.7,324.0,52
7,0.0043414,267.8,262.5,52
8,0.00447465,750.4,707.8,52
9,0.004612,699.5,662.9,52
10,0.0047728,878.2,823.7,52
11,0.0049392,806.2,760.0,52
12,0.005,901.4,848.7,52
13,0.006,572.1,542.3,52
14,0.008,270.2,257.8,52
15,0.01,150.1,143.3,52
16,0.015,50.78,48.02,52
17,0.02,23.41,21.75,52
18,0.03,7.877999999999999,6.997000000000001,52
19,0.031813799999999996,6.7379999999999995,5.928999999999999,52
20,0.04,20.64,9.48,52
21,0.05,11.45,6.33,52
22,0.06,7.041,4.306,52
23,0.08,3.255,2.195,52
24,0.1,1.801,1.256,52
25,0.15,0.6492,0.4409,52
26,0.2,0.3429,0.2132,52
27,0.3,0.1679,0.08646000000000001,52
28,0.4,0.1163,0.05326,52
29,0.5,0.09328,0.04055,52
30,0.6,0.08022,0.0344,52
31,0.8,0.06538,0.02854,52
32,1.0,0.05669,0.02559,52
33,1.25,0.04967,0.02327,52
34,1.5,0.04518,0.02179,52
35,2.0,0.04009,0.02033,52
36,3.0,0.03606,0.01998,52
37,4.0,0.03494,0.02075,52
38,5.0,0.03492,0.021769999999999998,52
39,6.0,0.035339999999999996,0.02279,52
40,8.0,0.03683,0.024659999999999998,52
41,10.0,0.0386,0.0262,52
42,15.0,0.0429,0.028730000000000002,52
43,20.0,0.046419999999999996,0.029889999999999996,52
0,0.001,9096.0,9078.0,53
1,0.00103542,8465.0,8448.0,53
2,0.0010721,7863.0,7847.0,53
3,0.0015,3919.0,3908.0,53
4,0.002,1997.0,1988.0,53
5,0.003,742.0,735.1,53
6,0.004,360.7,354.8,53
7,0.0045571,259.2,253.7,53
8,0.00470229,712.3,672.4,53
9,0.0048521,663.6,627.0,53
10,0.005,843.0,790.3,53
11,0.0051881,766.5,719.8,53
12,0.006,617.3,582.2,53
13,0.008,292.2,277.7,53
14,0.01,162.6,154.8,53
15,0.015,55.12,52.08,53
16,0.02,25.43,23.63,53
17,0.03,8.561,7.622000000000001,53
18,0.0331694,6.553,5.744,53
19,0.04,22.1,9.616,53
20,0.05,12.32,6.5729999999999995,53
21,0.06,7.579,4.518,53
22,0.08,3.51,2.331,53
23,0.1,1.942,1.3419999999999999,53
24,0.15,0.6978,0.4742,53
25,0.2,0.3663,0.2295,53
26,0.3,0.1771,0.09257,53
27,0.4,0.1217,0.0565,53
28,0.5,0.09701,0.04267,53
29,0.6,0.08313,0.03598,53
30,0.8,0.06749,0.02962,53
31,1.0,0.058410000000000004,0.02646,53
32,1.25,0.05111,0.02399,53
33,1.5,0.04647,0.022430000000000002,53
34,2.0,0.04124,0.020919999999999998,53
35,3.0,0.037160000000000006,0.02059,53
36,4.0,0.03607,0.021419999999999998,53
37,5.0,0.03608,0.0225,53
38,6.0,0.03655,0.023569999999999997,53
39,8.0,0.03815,0.02553,53
40,10.0,0.04002,0.027139999999999997,53
41,15.0,0.04455,0.0298,53
42,20.0,0.04823,0.031010000000000003,53
0,0.001,9413.0,9393.0,54
1,0.00107191,8151.0,8132.0,54
2,0.001149,7035.0,7019.0,54
3,0.0015,4085.0,4073.0,54
4,0.002,2088.0,2078.0,54
5,0.003,778.0,770.9,54
6,0.004,378.7,372.8,54
7,0.0047822,240.8,235.5,54
8,0.005,639.2,601.5,54
9,0.0051037,604.4,569.3,54
10,0.00527536,757.9,707.9,54
11,0.0054528,699.1,653.9,54
12,0.006,637.6,597.9,54
13,0.008,303.2,287.1,54
14,0.01,169.0,160.5,54
15,0.015,57.43,54.2,54
16,0.02,26.52,24.65,54
17,0.03,8.93,7.968999999999999,54
18,0.034561400000000006,6.129,5.352,54
19,0.04,22.7,9.323,54
20,0.05,12.72,6.54,54
21,0.06,7.825,4.541,54
22,0.08,3.633,2.374,54
23,0.1,2.011,1.376,54
24,0.15,0.7202,0.4894,54
25,0.2,0.376,0.2373,54
26,0.3,0.1797,0.09522,54
27,0.4,0.1223,0.05761,54
28,0.5,0.09698999999999999,0.04317,54
29,0.6,0.08281000000000001,0.03617,54
30,0.8,0.06696,0.029560000000000003,54
31,1.0,0.05785,0.0263,54
32,1.25,0.050539999999999995,0.023780000000000003,54
33,1.5,0.045939999999999995,0.02221,54
34,2.0,0.040780000000000004,0.0207,54
35,3.0,0.03681,0.020419999999999997,54
36,4.0,0.035769999999999996,0.02128,54
37,5.0,0.03583,0.0224,54
38,6.0,0.03634,0.0235,54
39,8.0,0.03797,0.02553,54
40,10.0,0.039869999999999996,0.0272,54
41,15.0,0.04445,0.030019999999999998,54
42,20.0,0.04815,0.031389999999999994,54
0,0.001,9365.0,9343.0,55
1,0.00103199,8775.0,8754.0,55
2,0.001065,8214.0,8194.0,55
3,0.00113851,7576.0,7557.0,55
4,0.0012171,6584.0,6567.0,55
5,0.0015,4335.0,4322.0,55
6,0.002,2226.0,2216.0,55
7,0.003,831.9,824.6,55
8,0.004,405.5,399.4,55
9,0.005,230.3,225.1,55
10,0.0050119,229.0,223.7,55
11,0.00518274,618.4,576.3,55
12,0.0053594,564.5,529.9,55
13,0.00553401,714.6,661.0,55
14,0.0057143,655.6,610.8,55
15,0.006,671.1,625.3,55
16,0.008,321.4,302.9,55
17,0.01,179.3,169.7,55
18,0.015,61.04,57.53,55
19,0.02,28.22,26.23,55
20,0.03,9.507,8.502,55
21,0.0359846,5.8629999999999995,5.102,55
22,0.04,23.81,9.185,55
23,0.05,13.4,6.617999999999999,55
24,0.06,8.248,4.6530000000000005,55
25,0.08,3.8360000000000003,2.464,55
26,0.1,2.124,1.4380000000000002,55
27,0.15,0.7589,0.5154,55
28,0.2,0.3941,0.2502,55
29,0.3,0.1863,0.1,55
30,0.4,0.1257,0.06002999999999999,55
31,0.5,0.09912,0.04463,55
32,0.6,0.08431,0.03717,55
33,0.8,0.06788999999999999,0.030139999999999997,55
34,1.0,0.058539999999999995,0.02671,55
35,1.25,0.05108,0.02408,55
36,1.5,0.04641,0.02246,55
37,2.0,0.041210000000000004,0.020909999999999998,55
38,3.0,0.03725,0.020640000000000002,55
39,4.0,0.03625,0.02153,55
40,5.0,0.03635,0.022680000000000002,55
41,6.0,0.03689,0.0238,55
42,8.0,0.0386,0.025830000000000002,55
43,10.0,0.04057,0.0275,55
44,15.0,0.04529,0.030260000000000002,55
45,20.0,0.0491,0.03152,55
0,0.001,8543.0,8521.0,56
1,0.00103063,7990.0,7969.0,56
2,0.0010622,7465.0,7445.0,56
3,0.00109882,7957.0,7935.0,56
4,0.0011367,7404.0,7384.0,56
5,0.00121224,6861.0,6841.0,56
6,0.0012928,5985.0,5968.0,56
7,0.0015,4499.0,4485.0,56
8,0.002,2319.0,2308.0,56
9,0.003,869.6,862.2,56
10,0.004,424.6,418.4,56
11,0.005,241.4,236.1,56
12,0.005247,213.5,208.4,56
13,0.00543204,563.4,526.3,56
14,0.0056236,516.9,483.5,56
15,0.00580333,650.7,602.5,56
16,0.0059888,601.3,557.7,56
17,0.006,689.8,638.3,56
18,0.008,333.4,312.7,56
19,0.01,186.0,175.4,56
20,0.015,63.47,59.72,56
21,0.02,29.38,27.3,56
22,0.03,9.904,8.875,56
23,0.0374406,5.497999999999999,4.768,56
24,0.04,24.57,8.842,56
25,0.05,13.79,6.534,56
26,0.06,8.511000000000001,4.66,56
27,0.08,3.963,2.501,56
28,0.1,2.1959999999999997,1.47,56
29,0.15,0.7828,0.5309,56
30,0.2,0.4046,0.2583,56
31,0.3,0.1891,0.1028,56
32,0.4,0.1265,0.06125,56
33,0.5,0.09923,0.04521,56
34,0.6,0.0841,0.03743,56
35,0.8,0.06744,0.03011,56
36,1.0,0.05803,0.02657,56
37,1.25,0.05058,0.023880000000000002,56
38,1.5,0.045919999999999996,0.02224,56
39,2.0,0.040780000000000004,0.02069,56
40,3.0,0.03692,0.02044,56
41,4.0,0.03598,0.02135,56
42,5.0,0.03612,0.0225,56
43,6.0,0.03669,0.02363,56
44,8.0,0.038439999999999995,0.025660000000000002,56
45,10.0,0.04042,0.02731,56
46,15.0,0.04518,0.03003,56
47,20.0,0.04902,0.03126,56
0,0.001,9087.0,9061.0,57
1,0.00105991,7988.0,7965.0,57
2,0.0011234,7000.0,6979.0,57
3,0.0011632,7447.0,7425.0,57
4,0.0012044,6911.0,6890.0,57
5,0.00128045,6440.0,6419.0,57
6,0.0013613,5652.0,5634.0,57
7,0.0015,4772.0,4755.0,57
8,0.002,2464.0,2453.0,57
9,0.003,926.7,919.0,57
10,0.004,453.1,446.8,57
11,0.005,257.8,252.4,57
12,0.0054827,203.9,198.8,57
13,0.00568299,530.2,493.5,57
14,0.0058906,484.6,451.7,57
15,0.006,631.9,581.9,57
16,0.0062663,565.4,522.1,57
17,0.008,352.9,329.0,57
18,0.01,196.7,184.7,57
19,0.015,67.31,63.21,57
20,0.02,31.19,28.97,57
21,0.03,10.52,9.443999999999999,57
22,0.0389246,5.271,4.553999999999999,57
23,0.04,25.79,8.607999999999999,57
24,0.05,14.47,6.56,57
25,0.06,8.962,4.756,57
26,0.08,4.177,2.5869999999999997,57
27,0.1,2.315,1.5319999999999998,57
28,0.15,0.8239,0.5576,57
29,0.2,0.4239,0.2718,57
30,0.3,0.1961,0.1079,57
31,0.4,0.1301,0.06382,57
32,0.5,0.1015,0.04677,57
33,0.6,0.0857,0.038489999999999996,57
34,0.8,0.06842999999999999,0.03073,57
35,1.0,0.05876,0.027,57
36,1.25,0.0511,0.02418,57
37,1.5,0.0464,0.02249,57
38,2.0,0.04122,0.0209,57
39,3.0,0.03737,0.02068,57
40,4.0,0.03646,0.02161,57
41,5.0,0.03664,0.0228,57
42,6.0,0.03726,0.02395,57
43,8.0,0.03907,0.026019999999999998,57
44,10.0,0.04113,0.02769,57
45,15.0,0.04603,0.030430000000000002,57
46,20.0,0.049960000000000004,0.03163,57
0,0.001,9711.0,9679.0,58
1,0.00108876,7991.0,7964.0,58
2,0.0011854,6563.0,6541.0,58
3,0.00122832,6984.0,6960.0,58
4,0.0012728,6465.0,6442.0,58
5,0.00135222,6031.0,6010.0,58
6,0.0014366,5293.0,5273.0,58
7,0.0015,5033.0,5015.0,58
8,0.002,2607.0,2595.0,58
9,0.003,985.7,977.6,58
10,0.004,481.1,474.5,58
11,0.005,274.0,268.4,58
12,0.0057234,194.3,189.2,58
13,0.006,490.8,455.0,58
14,0.0061642,455.4,422.8,58
15,0.00635359,575.6,527.8,58
16,0.0065488,533.2,489.9,58
17,0.008,373.2,345.8,58
18,0.01,208.2,194.5,58
19,0.015,71.43,66.9,58
20,0.02,33.12,30.73,58
21,0.03,11.19,10.05,58
22,0.04,5.215,4.496,58
23,0.040443,5.066,4.359,58
24,0.05,15.2,6.569,58
25,0.06,9.447000000000001,4.8469999999999995,58
26,0.08,4.409,2.677,58
27,0.1,2.445,1.597,58
28,0.15,0.8687,0.5862,58
29,0.2,0.4452,0.2865,58
30,0.3,0.2039,0.1134,58
31,0.4,0.1342,0.06663999999999999,58
32,0.5,0.1041,0.048510000000000005,58
33,0.6,0.08757000000000001,0.0397,58
34,0.8,0.06962,0.03145,58
35,1.0,0.05961,0.0275,58
36,1.25,0.05181,0.02456,58
37,1.5,0.04701,0.02281,58
38,2.0,0.04177,0.02118,58
39,3.0,0.03792,0.02096,58
40,4.0,0.03705,0.02194,58
41,5.0,0.03727,0.02316,58
42,6.0,0.03792,0.02434,58
43,8.0,0.039810000000000005,0.02645,58
44,10.0,0.04194,0.02816,58
45,15.0,0.04699,0.03094,58
46,20.0,0.05103,0.03216,58
0,0.001,10580.0,10540.0,59
1,0.00111454,8122.0,8091.0,59
2,0.0012422,6278.0,6254.0,59
3,0.00128892,6661.0,6635.0,59
4,0.0013374,6142.0,6118.0,59
5,0.0015,5090.0,5069.0,59
6,0.001511,5006.0,4986.0,59
7,0.002,2768.0,2755.0,59
8,0.003,1047.0,1038.0,59
9,0.004,513.1,506.1,59
10,0.005,292.4,286.5,59
11,0.0059643,186.8,181.6,59
12,0.006,514.5,473.9,59
13,0.0064404,431.0,398.4,59
14,0.00663467,545.5,497.6,59
15,0.0068348,506.0,462.5,59
16,0.008,395.0,363.4,59
17,0.01,220.9,205.2,59
18,0.015,75.97,70.94,59
19,0.02,35.26,32.67,59
20,0.03,11.92,10.72,59
21,0.04,5.557,4.803,59
22,0.0419906,4.8919999999999995,4.192,59
23,0.05,15.99,6.567,59
24,0.06,9.977,4.942,59
25,0.08,4.664,2.773,59
26,0.1,2.588,1.6669999999999998,59
27,0.15,0.918,0.6172,59
28,0.2,0.4687,0.3025,59
29,0.3,0.2126,0.1195,59
30,0.4,0.1389,0.0698,59
31,0.5,0.1071,0.05047,59
32,0.6,0.08976,0.041069999999999995,59
33,0.8,0.07105,0.03229,59
34,1.0,0.0607,0.028110000000000003,59
35,1.25,0.05268,0.02503,59
36,1.5,0.04779,0.0232,59
37,2.0,0.04244,0.021519999999999997,59
38,3.0,0.03858,0.02131,59
39,4.0,0.037739999999999996,0.022330000000000003,59
40,5.0,0.038,0.02359,59
41,6.0,0.0387,0.02481,59
42,8.0,0.04067,0.026969999999999997,59
43,10.0,0.04288,0.02872,59
44,15.0,0.04809,0.03155,59
45,20.0,0.05226,0.03277,59
0,0.001,6627.0,6598.0,60
1,0.0010025,6806.0,6776.0,60
2,0.001005,6949.0,6918.0,60
3,0.00114188,7579.0,7547.0,60
4,0.0012974,5933.0,5908.0,60
5,0.00134907,6264.0,6236.0,60
6,0.0014028,5744.0,5719.0,60
7,0.0015,5273.0,5250.0,60
8,0.0015753,4738.0,4717.0,60
9,0.002,2878.0,2864.0,60
10,0.003,1093.0,1084.0,60
11,0.004,536.6,529.4,60
12,0.005,306.1,300.0,60
13,0.006,192.7,187.4,60
14,0.0062079,176.7,171.5,60
15,0.0064596,448.7,407.9,60
16,0.0067215,401.3,369.4,60
17,0.0069208,513.5,461.4,60
18,0.007126,472.3,429.3,60
19,0.008,409.4,373.9,60
20,0.01,230.0,212.5,60
21,0.015,79.25,73.76,60
22,0.02,36.84,34.07,60
23,0.03,12.47,11.21,60
24,0.04,5.809,5.033,60
25,0.0435689,4.6419999999999995,3.9619999999999997,60
26,0.05,16.5,6.417999999999999,60
27,0.06,10.33,4.928,60
28,0.08,4.8389999999999995,2.815,60
29,0.1,2.687,1.706,60
30,0.15,0.9522,0.6376,60
31,0.2,0.4844,0.3133,60
32,0.3,0.2178,0.1236,60
33,0.4,0.1412,0.07177,60
34,0.5,0.1083,0.051570000000000005,60
35,0.6,0.0904,0.04174,60
36,0.8,0.07127,0.03258,60
37,1.0,0.06072,0.02823,60
38,1.25,0.05262000000000001,0.02505,60
39,1.5,0.047689999999999996,0.023180000000000003,60
40,2.0,0.04236,0.021480000000000003,60
41,3.0,0.038560000000000004,0.02129,60
42,4.0,0.03776,0.022330000000000003,60
43,5.0,0.038060000000000004,0.0236,60
44,6.0,0.03879,0.02483,60
45,8.0,0.04081,0.027010000000000003,60
46,10.0,0.043039999999999995,0.02876,60
47,15.0,0.04832,0.03159,60
48,20.0,0.052570000000000006,0.03283,60
0,0.001,2056.0,2046.0,61
1,0.00101336,2007.0,1997.0,61
2,0.0010269,1959.0,1949.0,61
3,0.00103913,3894.0,3874.0,61
4,0.0010515,5830.0,5801.0,61
5,0.00119448,7232.0,7196.0,61
6,0.0013569,5687.0,5660.0,61
7,0.00141299,5985.0,5956.0,61
8,0.0014714,5466.0,5439.0,61
9,0.0015,5553.0,5526.0,61
10,0.001653,4497.0,4474.0,61
11,0.002,3048.0,3031.0,61
12,0.003,1162.0,1152.0,61
13,0.004,570.9,563.3,61
14,0.005,326.0,319.6,61
15,0.006,205.3,199.8,61
16,0.0064593,170.2,164.9,61
17,0.00673036,422.6,386.4,61
18,0.0070128,380.5,348.7,61
19,0.00721737,488.4,435.9,61
20,0.0074279,449.4,406.2,61
21,0.008,431.4,390.8,61
22,0.01,244.0,224.0,61
23,0.015,84.11,77.99,61
24,0.02,39.16,36.14,61
25,0.03,13.27,11.93,61
26,0.04,6.181,5.3660000000000005,61
27,0.045183999999999995,4.4910000000000005,3.8160000000000003,61
28,0.05,17.35,6.3629999999999995,61
29,0.06,10.87,4.989,61
30,0.08,5.107,2.904,61
31,0.1,2.84,1.776,61
32,0.15,1.005,0.6699,61
33,0.2,0.5098,0.3302,61
34,0.3,0.2273,0.1301,61
35,0.4,0.1462,0.07517,61
36,0.5,0.1115,0.053689999999999995,61
37,0.6,0.09276000000000001,0.043230000000000005,61
38,0.8,0.0728,0.03349,61
39,1.0,0.06188,0.02889,61
40,1.25,0.0535,0.02553,61
41,1.5,0.04849,0.0236,61
42,2.0,0.04308,0.021840000000000002,61
43,3.0,0.03925,0.02166,61
44,4.0,0.038489999999999996,0.02273,61
45,5.0,0.03882,0.02405,61
46,6.0,0.03959,0.02532,61
47,8.0,0.04169,0.02754,61
48,10.0,0.04401,0.029330000000000002,61
49,15.0,0.049460000000000004,0.03222,61
50,20.0,0.0538,0.03344,61
0,0.001,2107.0,2097.0,62
1,0.00103933,1963.0,1953.0,62
2,0.0010802,1827.0,1817.0,62
3,0.00109302,3837.0,3816.0,62
4,0.001106,5613.0,5582.0,62
5,0.00125312,6641.0,6605.0,62
6,0.0014198,5262.0,5234.0,62
7,0.0015,5358.0,5329.0,62
8,0.0015407,5046.0,5018.0,62
9,0.00162921,4740.0,4714.0,62
10,0.0017228,4189.0,4165.0,62
11,0.002,3120.0,3102.0,62
12,0.003,1193.0,1183.0,62
13,0.004,587.3,579.5,62
14,0.005,335.6,329.1,62
15,0.006,211.5,205.9,62
16,0.0067162,158.7,153.6,62
17,0.00700767,389.8,354.7,62
18,0.0073118,349.6,318.9,62
19,0.0075213,450.1,398.8,62
20,0.0077368,414.1,372.1,62
21,0.008,440.1,395.1,62
22,0.01,249.9,227.8,62
23,0.015,86.33,79.72,62
24,0.02,40.25,37.06,62
25,0.03,13.65,12.27,62
26,0.04,6.362,5.532,62
27,0.0468342,4.208,3.562,62
28,0.05,17.74,6.093999999999999,62
29,0.06,11.07,4.872,62
30,0.08,5.212000000000001,2.8930000000000002,62
31,0.1,2.9010000000000002,1.786,62
32,0.15,1.0270000000000001,0.6806,62
33,0.2,0.5192,0.3366,62
34,0.3,0.2296,0.1326,62
35,0.4,0.1466,0.0762,62
36,0.5,0.1112,0.054110000000000005,62
37,0.6,0.09218,0.04334,62
38,0.8,0.07201,0.03333,62
39,1.0,0.06106,0.02862,62
40,1.25,0.05271,0.02522,62
41,1.5,0.04773,0.02325,62
42,2.0,0.0424,0.0215,62
43,3.0,0.03868,0.021330000000000002,62
44,4.0,0.03797,0.02241,62
45,5.0,0.03833,0.023719999999999998,62
46,6.0,0.03912,0.024980000000000002,62
47,8.0,0.04124,0.02719,62
48,10.0,0.04355,0.028960000000000003,62
49,15.0,0.04899,0.0318,62
50,20.0,0.05335,0.03302,62
0,0.001,2216.0,2206.0,63
1,0.00106344,1978.0,1968.0,63
2,0.0011309,1763.0,1753.0,63
3,0.00114565,3617.0,3595.0,63
4,0.0011606,5416.0,5382.0,63
5,0.00131087,6291.0,6253.0,63
6,0.0014806,5031.0,5001.0,63
7,0.0015,5624.0,5590.0,63
8,0.0016139,4771.0,4742.0,63
9,0.00170441,4492.0,4465.0,63
10,0.0018,3980.0,3955.0,63
11,0.002,3278.0,3258.0,63
12,0.003,1256.0,1245.0,63
13,0.004,619.3,611.1,63
14,0.005,354.2,347.4,63
15,0.006,223.4,217.5,63
16,0.0069769,152.2,147.1,63
17,0.00728997,369.6,334.6,63
18,0.0076171,330.2,299.8,63
19,0.008,398.9,356.0,63
20,0.008052,392.1,350.2,63
21,0.01,262.9,237.8,63
22,0.015,90.87,83.52,63
23,0.02,42.42,38.95,63
24,0.03,14.41,12.95,63
25,0.04,6.716,5.848,63
26,0.048519,4.051,3.4139999999999997,63
27,0.05,18.5,5.9270000000000005,63
28,0.06,11.55,4.863,63
29,0.08,5.455,2.9530000000000003,63
30,0.1,3.04,1.841,63
31,0.15,1.0759999999999998,0.7088,63
32,0.2,0.5425,0.3518,63
33,0.3,0.238,0.1385,63
34,0.4,0.1509,0.07927000000000001,63
35,0.5,0.1139,0.055979999999999995,63
36,0.6,0.09404,0.04462,63
37,0.8,0.07312,0.03406,63
38,1.0,0.061860000000000005,0.02912,63
39,1.25,0.05331,0.02557,63
40,1.5,0.04822,0.023530000000000002,63
41,2.0,0.04285,0.021730000000000003,63
42,3.0,0.03913,0.021580000000000002,63
43,4.0,0.03845,0.022690000000000002,63
44,5.0,0.03885,0.02404,63
45,6.0,0.03967,0.02532,63
46,8.0,0.04185,0.02758,63
47,10.0,0.044219999999999995,0.02938,63
48,15.0,0.0498,0.03228,63
49,20.0,0.054229999999999993,0.033510000000000005,63
0,0.001,2291.0,2281.0,64
1,0.00108867,1960.0,1949.0,64
2,0.0011852,1668.0,1658.0,64
3,0.00120109,2527.0,2510.0,64
4,0.0012172,3961.0,3934.0,64
5,0.0015,5041.0,5008.0,64
6,0.001544,4701.0,4670.0,64
7,0.00161454,4900.0,4867.0,64
